id,eng,simp,trad
353619,I don't want to share the hotel room with a stranger.,我不想和一个陌生人分享旅馆房间。,我不想和一個陌生人分享旅館房間。
353622,I feel like I am being forced to help her.,我感觉我被强制帮助她。,我感覺我被強制幫助她。
353629,He knows a lot about butterflies.,他对蝴蝶很有研究。,他對蝴蝶很有研究。
353631,The plane flew east.,飞机飞向东方。,飛機飛向東方。
353633,They look pretty close.,他们看起来很亲密。,他們看起來很親密。
353637,I realized then that this awful cellar was the only place that could save our lives.,我意识到这个可怕的地下室是唯一可以救我们命的地方。,我意識到這個可怕的地下室是唯一可以救我們命的地方。
353650,The workers complained when their working hours were extended.,工人们抱怨他们的工作时间被延长了。,工人們抱怨他們的工作時間被延長了。
353867,Give a lecture on literature.,做一次文学讲座。,做一次文學講座。
353869,"When writing English, she rarely makes a mistake.",她在英文书写上很少犯错。,她在英文書寫上很少犯錯。
353870,More and more women have their own careers and are economically independent of their husbands.,越来越多的女人拥有自己的事业并实现和丈夫的经济独立。,越來越多的女人擁有自己的事業並實現和丈夫的經濟獨立。
353877,Please give me a glass of water.,请给我一杯水。,請給我一杯水。
353882,Overcome weakness.,克服弱点。,克服弱點。
353887,It was like a bolt out of the blue.,晴天霹雳。,晴天霹靂。
354117,I would like a less expensive double room.,我想要更便宜点的双人间。,我想要更便宜點的雙人間。
354118,I'll ring you up tonight.,我今晚给你打电话。,我今晚給你打電話。
354121,Who is that person?,那人是谁？,那人是誰？
354446,I don't know what this word means.,我不知道这个词什么意思。,我不知道這個詞什麼意思。
354448,"It is not because I hate him, but because I love him.",这并不是因为我恨他，相反我爱他。,這並不是因為我恨他，相反我愛他。
354449,I regret going there.,我后悔去过那里。,我後悔去過那裏。
354473,The machine takes a lot of room.,这台机器很佔空间。,這臺機器很佔空間。
354491,The dream has come true.,梦想成真。,夢想成真。
354504,The word is of great use to me.,这个词对我很有用。,這個詞對我很有用。
354507,She put off going to Mexico.,她推迟了去墨西哥的行程。,她推遲了去墨西哥的行程。
354508,She seldom goes to that sort of place.,她很少去像那样的地方。,她很少去像那樣的地方。
354509,She seldom goes out.,她很少出去。,她很少出去。
354510,She is seldom late for school.,她上学很少迟到。,她上學很少遲到。
354511,She seldom eats breakfast.,她很少吃早餐。,她很少吃早餐。
354513,She is rarely late for appointments.,她很少迟到。,她很少遲到。
354516,She kept her eyes closed.,她双眼紧闭。,她雙眼緊閉。
354557,Has the fever gone down?,你退烧了吗？,你退燒了嗎？
354559,Low temperatures turn water into ice.,低温使水变成冰。,低溫使水變成冰。
354560,What a lucky person he is!,他是多么幸运的人啊！,他是多麼幸運的人啊！
355108,This job is beyond my ability.,这份工作在我能力范围之外.,這份工作在我能力範圍之外.
355181,I want to study English.,我想学英语。,我想學英語。
356153,The doctor advised me to give up smoking.,医生建议我戒烟。,醫生建議我戒煙。
356380,He eats a lot.,他吃得很多。,他吃得很多。
357167,He's saving up to go to college.,他在攒钱上大学。,他在攢錢上大學。
357168,Climbing this mountain is very difficult.,爬这座山很困难。,爬這座山很困難。
357169,Their food was great last time.,上次来吃的时候是很美味的。,上次來吃的時候是很美味的。
357170,I found that she wore the same dress that I had seen her wear last time.,我记起上次见到她时，她也是穿着这条裙子的。,我記起上次見到她時，她也是穿著這條裙子的。
357171,Walk more slowly.,走慢点。,走慢點。
357172,A honeymoon in Canada costs a lot of money.,去加拿大渡蜜月要花很多钱。,去加拿大渡蜜月要花很多錢。
357930,I worked hard in order to support my family.,我努力工作养家煳口。,我努力工作養家糊口。
357932,I can pay no more than $50 a week for rent.,我最多只能付每周50美元的房租。,我最多只能付每周50美元的房租。
357933,I went home and Bill stayed at the office.,我回家了，但Bill继续留在办公室。,我回家了，但Bill繼續留在辦公室。
357934,I'm free.,我有空。,我有空。
357935,I often spend my leisure time listening to the radio.,我常常在我的闲暇时候听广播。,我常常在我的閑暇時候聽廣播。
357936,I write poems in my free time.,我在闲暇时候写诗。,我在閑暇時候寫詩。
357939,I found out where to buy fruit cheaply.,我找到一个买水果很便宜的地方。,我找到一個買水果很便宜的地方。
357940,I like to sing.,我喜欢唱歌。,我喜歡唱歌。
357943,I'm good at singing.,我唱歌唱得很好。,我唱歌唱得很好。
357944,I hope to become a singer.,我希望成为一名歌手。,我希望成為一名歌手。
357945,I will have finished reading this book by Tuesday.,到周二的时候，我就能读完这本书了。,到周二的時候，我就能讀完這本書了。
357947,I am watering the flowers.,我正在给花浇水。,我正在給花澆水。
357949,I need not have watered the flowers. Just after I finished it started raining.,我原本是不需要给花浇水的，我刚浇完就下雨了。,我原本是不需要給花澆水的，我剛澆完就下雨了。
357951,I'm going to exhibit my roses at the flower show.,我要把我的玫瑰拿到花展上展示。,我要把我的玫瑰拿到花展上展示。
358069,In winter I wear an overcoat.,冬天我穿一件大衣。,冬天我穿一件大衣。
358072,I don't know how to use an art file (.art).,我不知道如何使用.art文件。,我不知道如何使用.art文件。
358132,She decorated the wall with pictures.,她用绘画来装饰墙。,她用繪畫來裝飾墻。
358133,I want to see them again.,我想再次见到他们。,我想再次見到他們。
358135,I want to be more independent.,我想更加自立。,我想更加自立。
358138,How was the universe formed?,宇宙是怎样形成的？,宇宙是怎樣形成的？
358141,Did you go abroad for pleasure or on business?,你去国外是玩儿还是出差？,你去國外是玩兒還是出差？
358147,I considered changing my job.,我考虑更换工作。,我考慮更換工作。
358149,"No matter how you say it, I'm not going to listen to you.",无论你怎么说，我也不会听你的。,無論你怎麼說，我也不會聽你的。
358153,Nobody is perfect.,没有人是完美的。,沒有人是完美的。
358156,The sky was ablaze with fireworks.,天空被焰火点亮。,天空被焰火點亮。
358174,I feel secure with him.,我和他在一起时很有安全感。,我和他在一起時很有安全感。
358175,Forget it.,放弃吧。,放棄吧。
358176,"If there is somebody to back me up, the business will be successful.",如果有人支持的话，生意是会成功的。,如果有人支持的話，生意是會成功的。
358177,His paintings seem strange to me.,我觉得他的画有点奇怪。,我覺得他的畫有點奇怪。
358178,Those who are present are all Japanese.,出席者都是日本人。,出席者都是日本人。
358179,He entered his room.,他进了自己房间。,他進了自己房間。
358180,Children need a lot of sleep.,孩子需要很多睡眠。,孩子需要很多睡眠。
358181,Be careful driving or you'll have problems.,小心点驾驶，不然你就麻烦了。,小心點駕駛，不然你就麻煩了。
358184,Many foreigners also come to Japan to learn Japanese.,为了学习日语而来日本的外国人很多。,為了學習日語而來日本的外國人很多。
358185,Do you speak Japanese?,你会讲日语么？,你會講日語麼？
358186,It's really easy for me to speak Japanese.,讲日语对我来说很简单。,講日語對我來說很簡單。
358288,He was cleaning his room.,他在打扫他的房间。,他在打掃他的房間。
358289,I ran as fast as I could.,我尽力奔跑。,我盡力奔跑。
358290,I ran as fast as I could.,我拼命地跑。,我拼命地跑。
358443,Mary took out the eggs one by one.,玛丽把鸡蛋一颗一颗地取了出来。,瑪麗把雞蛋一顆一顆地取了出來。
358444,"Even if he is busy, he will come.",他就算多忙也会来的。,他就算多忙也會來的。
358445,I don't know if it is true.,我不知道这是不是真的。,我不知道這是不是真的。
358446,His words convey nothing at all to me.,他的话对我来说没有任何意义。,他的話對我來說沒有任何意義。
358456,I sat at the front in order to hear the lecture clearly.,我想听清楚演讲内容，便坐在了前面。,我想聽清楚演講內容，便坐在了前面。
358483,Look up the words in your dictionary.,用你的词典查查这些生字吧。,用你的詞典查查這些生字吧。
358486,Please tell me how I can get in touch with him.,请告诉我怎样才能联络上他。,請告訴我怎樣才能聯絡上他。
358491,Every Friday night they went and got liquored up.,他们星期五每晚都去喝酒。,他們星期五每晚都去喝酒。
358493,This passport is valid for five years.,这本护照的有用期限为五年。,這本護照的有用期限為五年。
358494,The aurora is a phenomenon characteristic of the polar regions.,极光是极地特有的自然现象。,極光是極地特有的自然現象。
358497,"We believe he will succeed, for he has talent.",他是个有才能的人，我们相信他会成功。,他是個有才能的人，我們相信他會成功。
358763,My son can count up to a hundred now.,我儿子现在可以数到100。,我兒子現在可以數到100。
358816,I was busy with work for the term exam.,我忙于应付期末考试。,我忙於應付期末考試。
358966,Come on any day you like.,你可以随时来。,你可以隨時來。
358967,It is a pity that you cannot come to the party.,你不能来参加派对，真是可惜。,你不能來參加派對，真是可惜。
358968,The old man looks sad.,老人看起来很伤心。,老人看起來很傷心。
358969,Ted waited for her for a long time.,Ted 等了她很久。,Ted 等了她很久。
358970,"Eventually I'd like to settle down and have a family, but not yet.",我会找个地方安顿下来，然后结婚生子的，但这是以后的事。,我會找個地方安頓下來，然後結婚生子的，但這是以後的事。
358971,You only have to try hard.,你只要努力就可以了。,你只要努力就可以了。
358972,It was you that were wrong.,错的是你。,錯的是你。
358973,The cement will set in a couple of hours.,水泥会在数个小时内凝固。,水泥會在數個小時內凝固。
358974,I would like to know how these substances are absorbed by the body.,我想知道这些物质是怎麽被人体吸收的。,我想知道這些物質是怎麼被人體吸收的。
358975,Emi danced the most beautifully of the three girls.,Emi 是三个女孩中跳得最漂亮的。,Emi 是三個女孩中跳得最漂亮的。
358976,As usual the peasants are busy scattering grain seeds.,农民们如常在忙着播种。,農民們如常在忙著播種。
358977,It's pretty cold.,天气挺冷的。,天氣挺冷的。
358981,"Strictly speaking, the tomato is a fruit.","严格地讲,番茄是水果。","嚴格地講,番茄是水果。"
358982,"Strictly speaking, this sentence is grammatically incorrect.","严格地讲,这句话语法上有错误。","嚴格地講,這句話語法上有錯誤。"
358986,Practice makes perfect.,熟能生巧。,熟能生巧。
358987,His action is against the law.,他的行为是犯法的。,他的行為是犯法的。
358988,"The staff at the company tried to cover up the truth, but soon it came to light.",公司的职员设法隐瞒，但真相不久便水落石出了。,公司的職員設法隱瞞，但真相不久便水落石出了。
358989,Lay it on the table.,把它放在桌上。,把它放在桌上。
358990,Do you mind if I smoke?,你介意我抽烟吗？,你介意我抽煙嗎？
358991,The picture brought back a lot of memories.,照片使我忆起了很多往事。,照片使我憶起了很多往事。
358992,The room looks different after I've changed the curtains.,我换了窗帘后，房间看起来不同了。,我換了窗簾後，房間看起來不同了。
358996,How are you getting along these days?,你最近怎样？,你最近怎樣？
358998,"No matter how cold it is outside, the rooms are comfortably heated.",无论外面多麽寒冷，房间始终既舒适又温暖。,無論外面多麼寒冷，房間始終既舒適又溫暖。
359000,That is a matter of degrees.,这是程度的问题。,這是程度的問題。
359004,It has some bearing on this problem.,它和这个问题有点关係。,它和這個問題有點關係。
359006,"Toyota Corporation announced that it would cut 1,000 positions this year.",丰田公司宣佈将会在今年裁员一千人。,豐田公司宣佈將會在今年裁員一千人。
359008,One third of the population of that country cannot read.,那个国家三分之一的人口是文盲。,那個國家三分之一的人口是文盲。
359010,This scarf feels soft and smooth.,这条围巾摸起来又软又滑。,這條圍巾摸起來又軟又滑。
359011,The moon is behind the clouds.,月亮被云遮住了。,月亮被雲遮住了。
359012,The mother kissed her baby.,妈妈亲了她的宝贝。,媽媽親了她的寶貝。
359013,He often asks silly questions.,他常常问些傻问题。,他常常問些傻問題。
359014,The baby is sleeping.,婴儿在睡觉。,嬰兒在睡覺。
359015,The baby started to cry.,婴儿开始哭了。,嬰兒開始哭了。
359016,You will be all right again in a couple of days.,你两三天就会回复健康了。,你兩三天就會回復健康了。
359017,She went home.,她回家了。,她回家了。
359541,My family went to the zoo to see pandas last Sunday.,上星期天我的家庭去了动物园看熊猫。,上星期天我的家庭去了動物園看熊貓。
360131,"In culture, they are on the same plane as savages.",在教养上，他们可以说是和野蛮人差不多。,在教養上，他們可以說是和野蠻人差不多。
360139,We disputed for hours about what to write.,我们为该写些甚麽而争论了好几个小时。,我們為該寫些甚麼而爭論了好幾個小時。
360560,Whose umbrella is this?,这把伞是谁的？,這把傘是誰的？
360664,I found it difficult to get along with him.,我觉得很难和他相处。,我覺得很難和他相處。
360667,A careless person is apt to make mistakes.,粗心大意的人很容易犯错。,粗心大意的人很容易犯錯。
360673,He became irritated.,他开始生气了。,他開始生氣了。
360674,"Not only are you wrong, but I am wrong too.",错的不只是你，我自己也错了。,錯的不只是你，我自己也錯了。
360675,It looks as if he were sick.,他看起来似乎生病了。,他看起來似乎生病了。
360679,I'll look you up when I visit New York.,我去纽约时会来看看你的。,我去紐約時會來看看你的。
360687,We have to cope with hosts of difficulties.,我们要面对许多的困难。,我們要面對許多的困難。
360693,Please tell her to call me back.,请叫她给我回个电话。,請叫她給我回個電話。
360697,"The girl did not like to wash dishes, but she made the best of it.",女孩不太喜欢洗碗，但也尽力而为。,女孩不太喜歡洗碗，但也盡力而為。
361660,This room is used by teachers.,这房间是老师专用的。,這房間是老師專用的。
361673,He is fatter than when I last saw him.,他比上次见面时胖了一些。,他比上次見面時胖了一些。
361681,They named the ship the Mayflower.,他们把船命名为「五月花号」。,他們把船命名為「五月花號」。
361690,That old tradition has disappeared.,那个古老的传统已经不复存在了。,那個古老的傳統已經不復存在了。
361697,There was no choice but to sit and wait.,只好坐下来等待。,只好坐下來等待。
361698,She was absorbed in writing a poem.,她全神贯注地写着诗。,她全神貫註地寫著詩。
361699,My grandfather often nods over his newspaper.,祖父常常边看报纸边点头。,祖父常常邊看報紙邊點頭。
361702,"She smiled, waving her hand.",她边挥手边微笑着。,她邊揮手邊微笑著。
361706,I think you'd better go on a diet.,我想你应该节食了。,我想你應該節食了。
361716,I think you worry too much.,你想太多了。,你想太多了。
361719,His quick temper will get him in trouble one day.,他的脾气早晚会给他惹麻烦的。,他的脾氣早晚會給他惹麻煩的。
361729,"Kyouichi Saionji, who he supposed would win the duel, has lost.",大家都以为西园寺会胜出那场决斗的，但他却输了。,大家都以為西園寺會勝出那場決鬥的，但他卻輸了。
361732,I asked Tony a question.,我问了 Tony 一条问题。,我問了 Tony 一條問題。
361733,This class is made up of thirty-five pupils.,这班有三十五个学生。,這班有三十五個學生。
361735,When did you visit Kyoto last?,你上次去京都是甚麽时候？,你上次去京都是甚麼時候？
361740,I'll go out after having dinner.,我吃完晚饭就出门。,我吃完晚飯就出門。
361746,This measure is in accord with our policy.,这个议桉合符我们的政策内容。,這個議案合符我們的政策內容。
361747,We do not anticipate their buying a new car.,我们认为他们不会买新车。,我們認為他們不會買新車。
361757,A baby has no knowledge of good and evil.,婴儿不懂得分是非黑白。,嬰兒不懂得分是非黑白。
361765,Everyone is ready.,大家都准备好了。,大家都準備好了。
361766,Mary and I became good friends.,我和玛莉成了好朋友。,我和瑪莉成了好朋友。
361772,I learned to play guitar when I was ten years old.,我十岁的时候学会了弹结他。,我十歲的時候學會了彈結他。
361786,Could you lend me some money? I'm short of cash at the moment.,可以借点钱给我吗？我现在有点缺钱。,可以借點錢給我嗎？我現在有點缺錢。
361792,He was destined to become a great musician.,他决心要成为一个伟大的音乐家。,他決心要成為一個偉大的音樂家。
361793,I'm glad to see you.,很高兴见到你。,很高興見到你。
361801,Mr Hirayama is a very good teacher.,平山先生是位很好的老师。,平山先生是位很好的老師。
361804,He is a good student.,他是个好学生。,他是個好學生。
361811,They excluded John from the club.,他们把 John 踢出了俱乐部。,他們把 John 踢出了俱樂部。
361824,He pressed me for a prompt reply.,他要求我尽快回覆。,他要求我盡快回覆。
361852,He was master of the situation.,他控制了大局。,他控制了大局。
361854,What about going out for a meal?,出去吃饭吗？,出去吃飯嗎？
361857,Want a drink?,喝点东西吗？,喝點東西嗎？
361865,Did you read that thick book?,你有没有看那本厚厚的书？,你有沒有看那本厚厚的書？
361868,I think he is a very kind man.,我觉得他是个十分亲切的人。,我覺得他是個十分親切的人。
361880,I feel quite at ease when I sit in this chair.,这张椅子坐得很舒服。,這張椅子坐得很舒服。
361885,The music is difficult for grownups to understand.,成年人很难理解那些音乐。,成年人很難理解那些音樂。
361889,Live in affluence.,过富足的生活。,過富足的生活。
361893,"Can I use your dictionary? ""Yes, here you are.""",「可以借你的词典一用吗？」「没问题。」,「可以借你的詞典一用嗎？」「沒問題。」
361899,I have a firm belief in his innocence.,我坚信他是无辜的。,我堅信他是無辜的。
361953,Not a single cloud could be seen in the sky.,天上万里无云。,天上萬裏無雲。
361955,It's already eleven. It's high time you were in bed.,十一时了，你该上床睡觉了。,十一時了，你該上床睡覺了。
361964,Dad is a hard worker.,父亲是个勤奋的人。,父親是個勤奮的人。
362336,That's absolute nonsense.,那完全是胡扯。,那完全是胡扯。
362343,You had better go home as soon as possible.,你最好尽快回家。,你最好盡快回家。
362345,Danger ahead.,前面有危险。,前面有危險。
362346,Man is a creature of circumstances.,人类是环境的产物。,人類是環境的產物。
362347,There is no TV in my room.,我房间里没有电视机。,我房間裏沒有電視機。
362350,Do you feel like going to the theater?,你想去看电影吗？,你想去看電影嗎？
362351,He will come into a large fortune.,他将会继承大笔的遗产。,他將會繼承大筆的遺產。
362352,I bet it's fine tonight.,我打赌今晚天气会很好。,我打賭今晚天氣會很好。
362353,Is my new hair style funny?,我的新髮型是不是很奇怪？,我的新髮型是不是很奇怪？
362354,I like spring the best.,我最喜欢春天。,我最喜歡春天。
362355,The richest man in the world cannot buy everything.,就连世界首富也不可能得到一切。,就連世界首富也不可能得到一切。
362356,"Well, let's start our work.",好，我们开始工作吧。,好，我們開始工作吧。
362357,Everybody looked up to him.,大家都尊敬他。,大家都尊敬他。
362358,A policeman came up to me.,有个警察走了过来。,有個警察走了過來。
362359,He speaks English fairly well.,他的英文说得不错。,他的英文說得不錯。
362360,He stood there with his hat on.,他戴着帽子在那里站着。,他戴著帽子在那裏站著。
362361,We postponed the event.,我们把活动延期了。,我們把活動延期了。
362362,"He does not study hard, but does very well at school.",他并不怎麽努力读书，但成绩却很好。,他並不怎麼努力讀書，但成績卻很好。
362620,The meeting was held here.,会议是在这里举行的。,會議是在這裏舉行的。
362621,Bill is still a legendary figure in this company.,Bill 在这间公司仍然是个传奇人物。,Bill 在這間公司仍然是個傳奇人物。
362622,I think that Delbert is crazy.,Delbert 好像有点神不守舍。,Delbert 好像有點神不守舍。
362623,I hope that you will like it.,希望你会喜欢。,希望你會喜歡。
362624,This one is prettier.,这个比较漂亮。,這個比較漂亮。
362625,Dorothy isn't in the office.,Dorothy 不在办工室。,Dorothy 不在辦工室。
362626,The wind is picking up.,风愈吹愈勐。,風愈吹愈猛。
362627,There was a neat pile of books in the corner of the room.,房间的角落里整整齐齐地放着一叠书。,房間的角落裏整整齊齊地放著一疊書。
362628,Everything seems to go right with him.,他好像做甚麽事也顺顺利利的。,他好像做甚麼事也順順利利的。
362629,Now my income is twice what it was two years ago.,我现在的收入比两年前多了一倍。,我現在的收入比兩年前多了一倍。
362630,The wheel began to roll slowly.,轮子开始慢慢转动。,輪子開始慢慢轉動。
362631,In these countries hunger is the rule.,对于这些国家的人民来说，捱饿是很正常的事。,對於這些國家的人民來說，捱餓是很正常的事。
362632,The bridge saved us a lot of time.,那条桥为我们节省了不少时间。,那條橋為我們節省了不少時間。
363258,I will never forget your kindness as long as I live.,我一辈子也不会忘记你的大恩大德。,我一輩子也不會忘記你的大恩大德。
363259,"It's very important to know how to let off steam, living in this world.",生活在这个世界里，懂得发泄是十分重要的。,生活在這個世界裏，懂得發泄是十分重要的。
363260,He is swimming in the river.,他正在河里游泳。,他正在河裏遊泳。
363261,He was tired then.,他当时很累。,他當時很累。
363262,He has some experience in teaching English.,他有一些教授英语的经验。,他有一些教授英語的經驗。
363264,A fire broke out during that night.,那天晚上发生了火灾。,那天晚上發生了火災。
363265,You have many caring friends.,你身边有很多关心你的朋友。,你身邊有很多關心你的朋友。
363266,"The sign says ""Exit.""",告示牌上写着「出口」。,告示牌上寫著「出口」。
363513,I prefer reading to writing.,我喜欢阅读多于写作。,我喜歡閱讀多於寫作。
363516,You may go swimming or fishing.,你可以去游泳或者钓鱼。,你可以去遊泳或者釣魚。
363527,Her husband intends to bring out a new monthly magazine.,他丈夫打算办月刊。,他丈夫打算辦月刊。
363532,It is rude to talk when your mouth is full.,边吃东西边谈话是非常没有礼貌的。,邊吃東西邊談話是非常沒有禮貌的。
363547,She did it all by herself.,那全都是她一个人做的。,那全都是她一個人做的。
363550,I owe him my life.,他是我的救命恩人。,他是我的救命恩人。
363553,She is engaged to a rich man.,她和一个有钱人订了婚。,她和一個有錢人訂了婚。
363560,I always take a bath in the morning.,我每天早上都会浸浴。,我每天早上都會浸浴。
363565,I can't recall her name at the moment.,我突然想不起她的名字。,我突然想不起她的名字。
363574,I heard the leaves rustling.,我听到树叶沙沙作响。,我聽到樹葉沙沙作響。
363581,"I don't have a CD player, but I bought the CD anyway.",我没有 CD 播放机，但还是把唱片买下来了。,我沒有 CD 播放機，但還是把唱片買下來了。
363585,Your English is too good to be in this class.,你的英文成绩很好，不会被分派到这一班。,你的英文成績很好，不會被分派到這一班。
363588,This is what I need.,这就是我需要的东西。,這就是我需要的東西。
363595,John inherited a large fortune.,John 继承了一大笔财产。,John 繼承了一大筆財產。
363599,I want you to read this book.,我想你读一读这本书。,我想你讀一讀這本書。
363602,This is a daily occurrence.,这种事每天也会发生。,這種事每天也會發生。
363873,I don't care a bit about the future.,我不在乎将来。,我不在乎將來。
363876,Will you listen to me for a few minutes?,您愿意听我说几分钟话吗？,您願意聽我說幾分鐘話嗎？
363879,He confessed that he was guilty.,他承认有罪。,他承認有罪。
363883,He leaves for China tomorrow.,他明天出发去中国。,他明天出發去中國。
363885,The museum is open from Monday to Friday.,博物馆周一到周五开门。,博物館周一到周五開門。
363894,He was fined 10000 yen.,他被罚了1万日元。,他被罰了1萬日元。
363897,George sent me a birthday card.,乔治给我寄了一张生日卡片。,喬治給我寄了一張生日卡片。
363969,I thought you had to get up by 7:30.,我以为你要7点半起床。,我以為你要7點半起床。
363971,He admitted his mistakes.,他承认了自己的错误。,他承認了自己的錯誤。
363978,We should have taken the schedule into consideration.,我们本该考虑一下行程。,我們本該考慮一下行程。
363979,I like to run.,我喜欢跑步。,我喜歡跑步。
363981,I was waiting for a taxi.,我等着出租车。,我等著出租車。
363983,He's a good person.,他是个好人。,他是個好人。
363988,The hunters captured the wild animal with a strong rope net.,猎人们用坚韧的绳网把野生动物捉住了。,獵人們用堅韌的繩網把野生動物捉住了。
363989,She will get well soon.,她很快会康复的。,她很快會康復的。
363990,"Betty is a pretty girl, isn't she?",贝蒂真是个漂亮女孩呢，你说是不是？,貝蒂真是個漂亮女孩呢，你說是不是？
363991,"Compared to a computer, a word processor has a single purpose.",文字处理软件和电脑不同的是，它只有一个用途。,文字處理軟件和電腦不同的是，它只有一個用途。
363992,The sky has gradually clouded over.,乌云逐渐佈满了整个天空。,烏雲逐漸佈滿了整個天空。
363994,He knocked his opponent out.,他把对手击倒了。,他把對手擊倒了。
363995,"I'm sorry to trouble you, but could you tell me the way to the station?",不好意思，我想请问去车站怎麽走？,不好意思，我想請問去車站怎麼走？
363996,This is a nice camera.,这是部不错的相机。,這是部不錯的相機。
363997,What would you recommend we eat?,有没有甚麽好菜推介？,有沒有甚麼好菜推介？
363998,I enjoy watching soccer on TV.,我喜欢在电视上看足球比赛。,我喜歡在電視上看足球比賽。
363999,Jack decided to cancel the reservations.,杰克决定取消预约。,傑克決定取消預約。
364000,"If you hurry, you'll catch up with him.",你动作快点就能赶上他。,你動作快點就能趕上他。
364001,You can eat lunch here in this room.,你可以在这房间吃午饭。,你可以在這房間吃午飯。
364002,What did you come here so early for?,你这麽早来到干甚麽？,你這麼早來到幹甚麼？
364003,How were your last exams?,你上次考试考得怎样？,你上次考試考得怎樣？
364004,I was nearly hit by a car.,我差点被车撞倒。,我差點被車撞倒。
364005,I will find you your lost ring.,我会帮你把戒指找回来的。,我會幫你把戒指找回來的。
364006,You had better leave at once.,你最好马上离开。,你最好馬上離開。
364007,John likes to trade stamps with his friends.,约翰喜欢和朋友交换邮票。,約翰喜歡和朋友交換郵票。
364349,This is too long.,这个太长了。,這個太長了。
364350,It is possible that he will come to our party.,他可能会来参加我们的派对。,他可能會來參加我們的派對。
364351,I don't want to be laughed at.,我不想被取笑。,我不想被取笑。
364352,Look both ways before you cross the street.,过马路前先左右看一看。,過馬路前先左右看一看。
364353,"Nice seeing you, too.",我也很高兴见到你。,我也很高興見到你。
364354,He is not what he was.,他再不是以前的他了。,他再不是以前的他了。
364355,I look to you for help.,我想请你帮忙。,我想請你幫忙。
364356,She is getting prettier and prettier.,她愈来愈漂亮了。,她愈來愈漂亮了。
364357,He has finally shown his true colors.,他终于露出马脚了。,他終於露出馬腳了。
364358,"Much as I pitied him, I could not help him.",虽然我很同情他，但却帮不上忙。,雖然我很同情他，但卻幫不上忙。
364359,He caught my hand and pulled me to the second floor.,他拉着我走到了二楼。,他拉著我走到了二樓。
364360,My father is always getting angry.,我父亲常常发怒。,我父親常常發怒。
364390,Sometimes being overcautious in planning could upset the apple cart.,计划时如果过于谨慎的话，可能会反把计划搞乱。,計劃時如果過於謹慎的話，可能會反把計劃搞亂。
364837,The British have a lot of respect for law and order.,英国人很尊重法序和秩序。,英國人很尊重法序和秩序。
364838,Life has been so flat since I came here.,我来到这里以后，一直过着单调乏味的生活。,我來到這裏以後，一直過著單調乏味的生活。
364839,Sam joined the army when he was eighteen.,萨姆在十八岁时加入了军队。,薩姆在十八歲時加入了軍隊。
364840,Don't tell anybody about the matter.,不要把那件事告诉别人。,不要把那件事告訴別人。
364841,"If you have time, please drop in on us.",你有空就来看看我们吧。,你有空就來看看我們吧。
364842,The Greeks used to worship several gods.,希腊人以前是信奉多神的民族。,希臘人以前是信奉多神的民族。
364843,You may always use my dictionary.,你可以随时用我的词典。,你可以隨時用我的詞典。
364844,Tell those people to back off so that the helicopter can land.,叫那些人后退，直升机要着陆了。,叫那些人後退，直升機要著陸了。
364845,Your shoes do not go with the suit.,你的鞋子和衣服不合衬。,你的鞋子和衣服不合襯。
364846,That athlete won three times in a row in this tournament.,那位选手在这次比赛中取得了三连胜。,那位選手在這次比賽中取得了三連勝。
364847,Please telephone me when you have made up your mind what you want to do.,你决定好要怎麽做的时候就打个电话给我吧。,你決定好要怎麼做的時候就打個電話給我吧。
364848,The boy lost his way in the forest.,小男孩在森林中迷路了。,小男孩在森林中迷路了。
364849,I was exhausted after running the race.,赛跑完后我累透了。,賽跑完後我累透了。
364851,We can enjoy skiing here all the year round.,在这里我们整年都能享受到滑雪的乐趣。,在這裏我們整年都能享受到滑雪的樂趣。
364912,He heard his name called from behind.,他听到有人从后面叫他的名字。,他聽到有人從後面叫他的名字。
364916,Do you listen to the radio at home every day?,你每天也在家听收音机吗？,你每天也在家聽收音機嗎？
364917,This diamond ring is too extravagant for me.,我觉得这鑽石戒指太奢侈了。,我覺得這鑽石戒指太奢侈了。
364919,It will make little difference whether you go there by taxi or on foot.,你乘出租车去和走路去也没有甚麽分别。,你乘出租車去和走路去也沒有甚麼分別。
364920,"So, it isn't hot at all.",因此，天气一点也不热。,因此，天氣一點也不熱。
364921,Have you finished your homework yet?,你做完功课了吗？,你做完功課了嗎？
364922,"On entering a dark tunnel, we could see nothing.",走进了漆黑的隧道后，我们甚麽也看不见。,走進了漆黑的隧道後，我們甚麼也看不見。
364923,We are expecting an addition to our family.,我们家快要添丁了。,我們家快要添丁了。
364924,What does this stand for?,这是甚麽意思？,這是甚麼意思？
364925,Can we effect a compromise?,我们不如各退一步吧。,我們不如各退一步吧。
364926,This bag is mine.,这个手袋是我的。,這個手袋是我的。
364927,"Whenever I call, he is out.",无论我甚麽时候打给他，他也不在家。,無論我甚麼時候打給他，他也不在家。
364928,I do not read his novels.,我不看他的小说。,我不看他的小說。
364930,This book is smaller.,这本书比较小。,這本書比較小。
364931,She always writes down every word her teacher says.,她总是把老师说的话一字不差地记下来。,她總是把老師說的話一字不差地記下來。
364932,We just arrived at the station.,我们刚到达车站。,我們剛到達車站。
364933,He never takes any notice of what his father says.,他总是把父亲的话当作耳边风。,他總是把父親的話當作耳邊風。
364934,He came after you left.,你走了他才来。,你走了他才來。
364935,Do not oversleep tomorrow morning.,明天早上别睡过头了。,明天早上別睡過頭了。
